"Index","Model","Delta_g"
1,"deepseek-ai/deepseek-moe-16b-base",0.000109999999999999
2,"deepseek-ai/deepseek-llm-67b-base",-0.000130000000000019
3,"deepseek-ai/deepseek-coder-6.7b-instruct",0.000410000000000021
4,"deepseek-ai/deepseek-coder-7b-instruct-v1.5",0.000400000000000011
5,"viethq188/Rabbit-7B-v2-DPO-Chat",-8.9999999999979e-05
6,"abhishekchohan/mistral-7B-forest-merge-v0.1",-2.000000000002e-05
7,"qblocks/gpt2_137m_DolphinCoder",-0.00107000000000002
8,"ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDChosen-SFTRejected-Zephyr-7b-beta",0.000109999999999999
9,"ArianAskari/SOLID-SFT-WoDPO-MixQV2-Zephyr-7b-beta",0.000109999999999999
10,"Open-Orca/OpenOrcaxOpenChat-Preview2-13B",2.000000000002e-05
11,"HenryJJ/dolphin-2.6-mistral-7b-dpo-orca-v1",-2.000000000002e-05
12,"HenryJJ/Instruct_Mistral-7B-v0.1_Dolly15K",-7.00000000000145e-05
13,"HenryJJ/Instruct_Yi-6B_Dolly_CodeAlpaca",0.000230000000000008
14,"Monero/WizardLM-13b-OpenAssistant-Uncensored",0.000350000000000017
15,"Monero/WizardLM-Uncensored-SuperCOT-StoryTelling-30b",0.000269999999999992
16,"Monero/Manticore-13b-Chat-Pyg-Guanaco",0.000180000000000013
17,"Monero/WizardLM-30B-Uncensored-Guanaco-SuperCOT-30b",0.000290000000000012
18,"facebook/xglm-7.5B",0.000350000000000017
19,"facebook/xglm-4.5B",0.000269999999999992
20,"facebook/xglm-1.7B",-0.000249999999999972
21,"facebook/xglm-564M",-0.000829999999999997
22,"ehartford/WizardLM-33B-V1.0-Uncensored",1.000000000001e-05
23,"ehartford/Samantha-1.11-CodeLlama-34b",0.000300000000000022
24,"ehartford/Wizard-Vicuna-13B-Uncensored",8.00000000000245e-05
25,"ehartford/samantha-1.2-mistral-7b",-6.00000000000045e-05
26,"ehartford/Samantha-1.11-13b",-2.000000000002e-05
27,"lu-vae/llama2-13B-sharegpt4-orca-openplatypus-8w",-2.000000000002e-05
28,"CHIH-HUNG/llama-2-13b-huangyt_FINETUNE2_3w",0
29,"CHIH-HUNG/llama-2-13b-Open_Platypus_and_ccp_2.6w-3_epoch",1.000000000001e-05
