ability_decile,n,ability_min,ability_max,delta_mean,delta_median,delta_sd,delta_se,delta_ci_low_95,delta_ci_high_95,r2_mean,r2_sd,r2_se,r2_ci_low_95,r2_ci_high_95
1,60,69.24428278528924,72.84558508971992,-8.784999999999939e-4,-9.84999999999985e-4,2.5545456327556016e-4,3.297904230929777e-5,-9.444909112346761e-4,-8.125090887653116e-4,0.6002557268422835,0.08052936906825627,0.010396296842731573,0.5794527849107439,0.621058668773823
2,59,72.86119917372994,84.72582818331921,-3.24067796610156e-4,-2.9000000000001e-4,2.8149305524640853e-4,3.6647274311194815e-5,-3.9742528634514125e-4,-2.507103068751708e-4,0.47258083710770354,0.0942123260370663,0.012265400127735979,0.4480289712219772,0.4971327029934299
3,59,84.7867131416423,93.71930395845524,3.177966101694974e-4,3.1000000000003e-4,1.451166925996769e-4,1.889258417469092e-5,2.79978994106333e-4,3.556142262326618e-4,0.17232506721759186,0.07520921529595957,0.009791405835103299,0.1527254389631039,0.19192469547207983
4,59,93.72240860109588,101.41605410139505,4.345762711864442e-4,4.1000000000002e-4,7.552852929575792e-5,9.832976976997976e-6,4.148934292503898e-4,4.5425911312249866e-4,0.019757297968288262,0.021133747733677904,0.002751379602390981,0.01424981331266167,0.025264782623914857
5,59,101.59602310494328,106.6408726204197,3.328813559322063e-4,3.2999999999999e-4,8.006572402499973e-5,1.04236694177059e-5,3.120161146098344e-4,3.5374659725457815e-4,0.06249035419728541,0.040245221394321753,0.0052394815455089035,0.052002392379783935,0.07297831601478688
6,59,106.72493363293061,109.08493179450366,2.035593220339e-4,1.9000000000002e-4,5.674391086470928e-5,7.387427960269442e-6,1.8877177832296528e-4,2.1834686574483472e-4,0.16928232390611753,0.03424917408961202,0.004458862676719239,0.160356940526726,0.17820770728550905
7,59,109.22692272453628,111.0746961815985,1.0203389830508353e-4,8.9999999999979e-5,6.132951309051919e-5,7.984422520238876e-6,8.605134014551841e-5,1.1801645646464866e-4,0.2724825169404238,0.04563587461552113,0.00594128481785212,0.2605897432422426,0.284375290638605
8,59,111.07844215041537,112.89326336996862,1.830508474576625e-5,1.000000000001e-5,5.44613922844573e-5,7.09026935201294e-6,4.112368616542838e-6,3.249780087498966e-5,0.35240859782357437,0.041226491020521415,0.005367231969522397,0.3416649157487181,0.36315227989843063
9,59,112.9000286421465,114.60608350136745,-5.440677966101133e-5,-6.00000000000045e-5,3.7932389328118635e-5,4.938376457528391e-6,-6.429201415933711e-5,-4.452154516268554e-5,0.4083098437828665,0.03049147939606903,0.003969652496768456,0.4003637209741043,0.4162559665916287
10,59,114.67757937331419,116.74250663322371,-1.0457627118643084e-4,-1.0999999999999e-4,4.11189206343292e-5,5.3532274980902466e-6,-1.1529192026596513e-4,-9.386062210689654e-5,0.43342907749342274,0.027983049594660078,0.0036430827526511803,0.4261366550512529,0.44072149993559256
