b,cor_ability_delta,cor_ability_r2,cor_delta_r2,linear_r2,quad_r2,full_r2,turning_point,peak_delta
1,0.5318567619193506,-0.3115168259414642,-0.921450520125554,0.2828716151993363,0.9369616572586746,0.9415544964073866,97.72777316942245,4.236350619645883e-4
2,0.599586842781495,-0.40765275551046376,-0.9273525287327753,0.3595043820366808,0.922238869541124,0.9314822179804437,97.47454191370848,4.1619409910089236e-4
3,0.5196716084160746,-0.3110050646311599,-0.9199241595872417,0.27005858059374943,0.9166989598404857,0.9204354707384832,97.50262018079736,4.217385133667949e-4
4,0.49135105656878614,-0.2740962568646403,-0.9184949451086573,0.24142586079126277,0.9186135363852059,0.9252312750447902,97.60690775993548,4.18328584506196e-4
5,0.44174153687979634,-0.22381879887360712,-0.9201655336452127,0.19513558540492473,0.9072043970450534,0.9139219079740787,97.5486725494118,4.21610202788341e-4
6,0.5346853270943852,-0.329066539858499,-0.9237040477852044,0.2858883990100311,0.9250724403787535,0.9287019401896597,97.52804989834017,4.3285046875391267e-4
7,0.5109468602724524,-0.3042298272433147,-0.9216706697744925,0.26106669402227706,0.9232749874012499,0.9297149630082213,97.76614184136878,4.111894828428414e-4
8,0.5742349485889865,-0.37883841267399765,-0.9238001395072268,0.32974577618099576,0.9377929614832214,0.9421593711537727,97.77472562537424,4.2727330454897863e-4
9,0.5689906483526882,-0.36769581036635796,-0.921446950741148,0.32375035791281187,0.9363758298536596,0.9425466890104615,97.70086149137828,4.214544510383854e-4
10,0.5091982949631078,-0.2859487532798905,-0.921730156960309,0.25928290359333633,0.920319583587142,0.9293984787036114,97.50674704238693,4.2040332848989476e-4
11,0.501663987234015,-0.2855220894855612,-0.9169576751203269,0.2516667560875308,0.9115737074013425,0.9189471820004653,97.54229291916221,4.199902730998052e-4
12,0.5695842696474863,-0.37275105701205846,-0.9213797733842259,0.3244262402298601,0.9093946465991739,0.9197875058282933,97.50306711902361,4.1438901243920703e-4
13,0.5079139830591464,-0.2635251205442684,-0.9208295185292573,0.25797661418700596,0.9444258831118404,0.9446573487100356,97.80797295117286,4.2152118558288695e-4
14,0.4973079693074924,-0.2649088982093918,-0.9150360515406725,0.24731521633674206,0.9158028499584376,0.9198130355253201,97.64110435362176,4.1793982455760534e-4
15,0.5624811741812706,-0.3788347594815275,-0.9262085030513983,0.31638507130834126,0.9311370486385686,0.9377634940373109,97.82917793250554,4.13664755617011e-4
16,0.5551530620870425,-0.33956999956581685,-0.921616688931811,0.30819492234461954,0.9382445403306863,0.9439926669953271,97.74149032116918,4.295837682040775e-4
17,0.5082471848104403,-0.29411688784140455,-0.9142751912392026,0.2583152008677372,0.936306844474219,0.9376261839300029,97.76864768204233,4.1756347948728595e-4
18,0.5328404221961739,-0.3378846682486862,-0.9256201201528704,0.28391891552619714,0.918429925714729,0.9268746402404422,97.53887962086645,4.229497209077282e-4
19,0.5393143919394731,-0.30347406624709794,-0.9150734847243114,0.2908600133530438,0.9328364681714256,0.9399043430888467,97.67994467542485,4.159300174582069e-4
20,0.518849944432476,-0.2999392592673962,-0.9187126676878556,0.26920526483758456,0.9364027494455947,0.9390071997746952,97.77921295573744,4.15317612860993e-4
21,0.5283782385355226,-0.34043102806203107,-0.9242427239937083,0.27918356295790137,0.929256695715976,0.9342989966936657,97.76176270361402,4.170938970047902e-4
22,0.5486582141461327,-0.3307458473130011,-0.9197391693627108,0.3010258359500235,0.9269865293079028,0.9376751758023103,97.69321163875134,4.138693199876413e-4
23,0.5657636484418014,-0.37140582170182784,-0.9251736946808731,0.32008850589817955,0.930794208511796,0.93613606441859,97.72334429502142,4.223727565080826e-4
24,0.5341377879884376,-0.32963850201001166,-0.9218137820277613,0.2853031765571819,0.9192483788749833,0.9259265321861804,97.63079922525353,4.203531161740756e-4
25,0.5622699481197623,-0.3501089981972459,-0.9219495109909912,0.3161474945586011,0.912280721352611,0.9200857045836445,97.6191682793164,4.2011172393561017e-4
26,0.5105492744806865,-0.2995530161878469,-0.9201937564869914,0.2606605616727549,0.9261381483994574,0.9335254134993659,97.53019712150557,4.2726913643966954e-4
27,0.5803893345508212,-0.36077984077220226,-0.9248545793458027,0.3368517796603455,0.9261315571119175,0.932982916243197,97.57095696992444,4.2138267612155944e-4
28,0.5676715248726436,-0.3565994035631623,-0.9259403749188491,0.3222509601512325,0.9272561658928662,0.9336702388937125,97.57726387155131,4.2670082052163535e-4
29,0.5531854594782007,-0.3545574232055317,-0.924401193689331,0.30601415257810993,0.9330693405137852,0.9383980479775575,97.6777418256617,4.19827645468239e-4
30,0.5377438790095567,-0.32289707166262466,-0.9183490231881924,0.28916847941224527,0.9224242137422741,0.9270556021826967,97.66127523676847,4.2088079176446844e-4
31,0.5324717666277057,-0.31011220425660124,-0.9211571331578342,0.28352618225562953,0.9166665516506857,0.9277899708531212,97.65625510615229,4.1606821706672084e-4
32,0.5436477705855222,-0.32939749157752984,-0.9192617144607974,0.29555289846260835,0.9333053797816151,0.9399041115813929,97.7134174206243,4.2273187807483764e-4
33,0.5388048627806213,-0.33607446906089267,-0.9237522326418931,0.2903106801560459,0.9349163404000024,0.939737745486928,97.68643559354949,4.3031700129749287e-4
