Model,Ability,Delta_g,Coherence_R2_1F,params_num,model_type
cerebras/Cerebras-GPT-111M,69.24428278528924,-0.00119999999999998,0.6778453746109138,0.111,base_or_other
Corianas/111m,69.31254584196165,-0.00118000000000001,0.6737777995787093,0.153,base_or_other
BEE-spoke-data/Mixtral-GQA-400m-v2,69.68772016915855,-0.00114999999999998,0.6732088205965515,2.006,merge_or_moe
postbot/distilgpt2-emailgen,69.7163854393421,-0.00113999999999997,0.6689982953745551,0.088,base_or_other
euclaise/gpt-neox-122m-minipile-digits,69.72938056251598,-0.00112000000000001,0.6602518148116661,0.172,base_or_other
Felladrin/Minueza-32M-Chat,69.75032956317952,-0.00107999999999997,0.641170819242737,0.033,instruction_or_chat
BEE-spoke-data/verysmol_llama-v11-KIx2,69.84782846458134,-0.00113000000000002,0.6657167116009068,0.058,base_or_other
HWERI/pythia-70m-deduped-cleansharegpt-en,70.02530900406775,-0.00107000000000002,0.6431329905314784,0.07,base_or_other
Josephgflowers/distillgpt2Cinder,70.03436654980057,-0.00107000000000002,0.647096948201275,0.082,base_or_other
ethzanalytics/pythia-31m,70.03485916638093,-0.00103999999999999,0.6322174882815699,0.03,base_or_other
