Model,Ability_PC1,Ability,Coherence_Cosine_Raw,Coherence_Cosine_Centered,Coherence_R2_1F,RMSE_1F,Delta_g,params_num,gfactor_meta,model_type,size_band,ability_decile
deepseek-ai/deepseek-moe-16b-base,15.477136713032802,109.39707114968488,0.8246927167789997,0.49868033164631476,0.2486820731708672,0.24495629023800855,1.0999999999999e-4,16.376,-0.473914003,base_or_other,2B-20B,7
deepseek-ai/deepseek-llm-67b-base,25.89337510909829,115.72137616389875,0.8668784819465002,0.6704670750975967,0.449526098789921,0.2609083120442736,-1.3000000000001e-4,67,1.844877352,base_or_other,20B+,10
deepseek-ai/deepseek-coder-6.7b-instruct,-17.587193981201956,89.32179018451792,0.5644602959879481,-0.3980288278262607,0.15842694778074684,0.3690933985742307,4.1000000000002e-4,6.741,-0.408884338,instruction_or_chat,2B-20B,3
deepseek-ai/deepseek-coder-7b-instruct-v1.5,5.66726014725841,103.44092371961254,0.7533844241148349,0.1644431250824682,0.027041541386881307,0.3095372482947165,4.0000000000001e-4,6.91,0.415055684,instruction_or_chat,2B-20B,5
viethq188/Rabbit-7B-v2-DPO-Chat,24.56833982456127,114.91687006722827,0.8632505382978105,0.6540544745964421,0.4277872557396216,0.25873131376111314,-8.9999999999979e-5,7.242,1.373443657,instruction_or_chat,2B-20B,10
abhishekchohan/mistral-7B-forest-merge-v0.1,22.834729742300482,113.86429441380669,0.8552197780721854,0.6129432392269809,0.37569941451406186,0.26802840946774276,-2.000000000002e-5,7,0.891906595,merge_or_moe,2B-20B,9
qblocks/gpt2_137m_DolphinCoder,-47.67195770626421,71.05557786839817,0.2588875722872846,-0.8247563203455779,0.680222987949982,0.29762492305903077,-0.00107000000000002,0.137,-0.729806604,base_or_other,<2B,1
ArianAskari/SOLID-SFT-DPO-MixQV2-SOLIDChosen-SFTRejected-Zephyr-7b-beta,17.046939526649684,110.35018986951317,0.8276589528524063,0.5123346893804931,0.262486833942596,0.2601871765702648,1.0999999999999e-4,7.242,0.668689737,merge_or_moe,2B-20B,7
ArianAskari/SOLID-SFT-WoDPO-MixQV2-Zephyr-7b-beta,16.989399802821566,110.31525415183027,0.8298312363161409,0.5147528065188753,0.2649704518190499,0.257655877420466,1.0999999999999e-4,7.242,0.63026066,merge_or_moe,2B-20B,7
Open-Orca/OpenOrcaxOpenChat-Preview2-13B,18.26897825786768,111.09216075972674,0.839504817746934,0.5901418669603937,0.34826742313948855,0.22756260088250635,2.000000000002e-5,13,0.194401721,instruction_or_chat,2B-20B,8
HenryJJ/dolphin-2.6-mistral-7b-dpo-orca-v1,20.80447721026057,112.63160985146502,0.8487933116061287,0.6146702140865766,0.3778194720852256,0.2430978889023725,-2.000000000002e-5,7.242,0.715000316,instruction_or_chat,2B-20B,8
HenryJJ/Instruct_Mistral-7B-v0.1_Dolly15K,21.572881526933955,113.09815286710075,0.8563980302396601,0.6561393183980161,0.4305188051478064,0.22592283562186624,-7.00000000000145e-5,7.242,0.812467193,instruction_or_chat,2B-20B,9
HenryJJ/Instruct_Yi-6B_Dolly_CodeAlpaca,11.809869542038687,107.17045965366337,0.7952535960288609,0.37140690628902495,0.1379430900391757,0.26882610212677394,2.3e-4,6.061,1.00371002,instruction_or_chat,2B-20B,6
Monero/WizardLM-13b-OpenAssistant-Uncensored,7.9815291803381365,104.8460512420082,0.7730142051782567,0.23777433345337576,0.056536633649191925,0.2968875562479915,3.5000000000001e-4,13,-0.650307743,instruction_or_chat,2B-20B,5
Monero/WizardLM-Uncensored-SuperCOT-StoryTelling-30b,12.67647805078805,107.6966281541188,0.8027937090280015,0.3683624466330302,0.13569089208946472,0.29131721267035526,2.6999999999999e-4,30,-0.286514144,base_or_other,20B+,6
Monero/Manticore-13b-Chat-Pyg-Guanaco,15.395758221833239,109.34766152786429,0.8184198357151453,0.4572703554394341,0.20909617796370228,0.2726454242330797,1.8000000000001e-4,13,-0.479661093,instruction_or_chat,2B-20B,7
Monero/WizardLM-30B-Uncensored-Guanaco-SuperCOT-30b,12.39990022043945,107.52870164429979,0.7990816440314861,0.358046993785263,0.1281976497586539,0.2944391245762407,2.9000000000001e-4,30,-0.392883547,instruction_or_chat,20B+,6
facebook/xglm-7.5B,-13.143028007204313,92.02010219357952,0.6097997161079293,-0.34747160825122214,0.12073651854068601,0.3229564542008393,3.5000000000001e-4,7.5,-0.549908624,base_or_other,2B-20B,3
facebook/xglm-4.5B,-17.456832099644885,89.40094047561583,0.5724528863358583,-0.44199136471955836,0.19535636648665333,0.32259808226224673,2.6999999999999e-4,5.077,-1.090775416,base_or_other,2B-20B,3
facebook/xglm-1.7B,-32.84423147907104,80.05835408782974,0.42409337527720053,-0.6883169030582122,0.4737801590356516,0.3151828805573168,-0.00024999999999997003,1.7,-0.709545787,base_or_other,<2B,2
facebook/xglm-564M,-44.06833787372528,73.24354535816445,0.3034421370328363,-0.7936028702543397,0.6298055156759328,0.3076427988442715,-8.2999999999999e-4,0.564,-0.519546479,base_or_other,<2B,2
ehartford/WizardLM-33B-V1.0-Uncensored,19.780669650285756,112.00999665110044,0.8450201618416113,0.5987750528352649,0.35853156389786855,0.24092023564097378,1.000000000001e-5,32.316,0.520399819,base_or_other,20B+,8
ehartford/Samantha-1.11-CodeLlama-34b,10.111834934979127,106.13948394329638,0.7841741118238639,0.30611836151468397,0.09370845125642624,0.28634057836393395,3.0000000000002e-4,33.482,0.295053199,base_or_other,20B+,5
ehartford/Wizard-Vicuna-13B-Uncensored,16.80081800428511,110.20075515817014,0.8309388408298809,0.5322693935469491,0.2833107073068317,0.24331715651556543,8.00000000000245e-5,12.852,-0.354096173,base_or_other,2B-20B,7
ehartford/samantha-1.2-mistral-7b,21.487707183527096,113.04643856231931,0.8547186672568886,0.6502728969656338,0.4228548405280693,0.22858371884285839,-6.00000000000045e-5,7.111,1.068142425,base_or_other,2B-20B,9
ehartford/Samantha-1.11-13b,19.135638777953446,111.61836083929386,0.8472856091639426,0.6212778043053175,0.38598611012243045,0.21976299491077222,-2.000000000002e-5,12.852,-0.099996581,base_or_other,2B-20B,8
lu-vae/llama2-13B-sharegpt4-orca-openplatypus-8w,19.635227602192376,111.92169031256829,0.8483161058141979,0.6172968396835614,0.38105538828330554,0.22786421190186082,-2.000000000002e-5,13,0.377575183,instruction_or_chat,2B-20B,8
CHIH-HUNG/llama-2-13b-huangyt_FINETUNE2_3w,18.577674132241533,111.27958800475861,0.8441869112807557,0.6077910022004175,0.369409902355779,0.22101359499545714,0,12.852,-0.014829461,base_or_other,2B-20B,8
CHIH-HUNG/llama-2-13b-Open_Platypus_and_ccp_2.6w-3_epoch,18.08598828349802,110.98105688820878,0.8414921716188427,0.5953142190796282,0.35439901943838226,0.22227285163875538,1.000000000001e-5,13,-0.014368185,base_or_other,2B-20B,7
CHIH-HUNG/llama-2-13b-FINETUNE5_4w-r4-gate_up_down,18.240213799344307,111.0746961815985,0.8420981086332118,0.5932640267724182,0.3519622054622199,0.22536704913196806,1.000000000001e-5,13,0.098266835,base_or_other,2B-20B,7
CHIH-HUNG/llama-2-13b-huangyt_Fintune_1_17w-gate_up_down_proj,18.566663646558517,111.27290289760512,0.8439844498530411,0.6077941421793587,0.3694137192675382,0.22088079659607718,0,12.852,0.119101839,base_or_other,2B-20B,8
caisarl76/Mistral-7B-guanaco1k-ep2,19.12826152261926,111.6138816778992,0.844551646557898,0.6181945702902277,0.38216452673630974,0.22145988792172047,-2.000000000002e-5,7.111,0.950483548,instruction_or_chat,2B-20B,8
caisarl76/Mistral-7B-OpenOrca-Guanaco-accu16,19.221670572060724,111.67059575233694,0.8431760616534002,0.5915345581677114,0.3499131335066612,0.23856407556311293,2.000000000002e-5,7,0.740348608,instruction_or_chat,2B-20B,8
camel-ai/CAMEL-13B-Role-Playing-Data,13.932328741947721,108.45912825455862,0.8153019101307959,0.45769388650445436,0.20948369374354292,0.24644065786423983,1.4000000000002e-4,13,-0.559716942,base_or_other,2B-20B,6
Kquant03/CognitiveFusion-4x7B-bf16-MoE,24.78594073776744,115.0489882555953,0.8622419141538629,0.6487826940797684,0.4209189841373978,0.26471841587268674,-7.9999999999969e-5,24.154,1.528699977,merge_or_moe,20B+,10
Kquant03/NeuralTrix-7B-dpo-relaser,26.519310940599972,116.10141826424444,0.8612471072086442,0.6307102335232425,0.39779539867093605,0.29710689719887856,-6.00000000000045e-5,7,1.56871893,instruction_or_chat,2B-20B,10
Kquant03/Raiden-16x3.43B,-5.358995332372596,96.74624180409745,0.6741633277925625,-0.15512218927879012,0.024062893606636715,0.31076257401045687,4.1000000000002e-4,35.776,-1.025517872,base_or_other,20B+,4
Abe13/juniper-certificate-Llama-2-7b-chat-hf,-42.875100278625744,73.96802940114554,0.36501585488688154,-0.641314244523579,0.41128396022885294,0.4670845885389713,-1.9999999999997e-4,7,-1.076964462,instruction_or_chat,2B-20B,2
souvik0306/falcon_7b_3epoch_norobots,9.443806728511808,105.73388511047844,0.7858896211405898,0.3085093702328624,0.09517803152147508,0.26513596383861726,2.5000000000002e-4,7,-1.193875412,base_or_other,2B-20B,5
GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct,-28.841503183393343,82.48864357126286,0.47082945294317685,-0.5980709695950882,0.3576888846724149,0.35192184787544506,2.000000000002e-5,NA,-0.806609166,instruction_or_chat,unknown,2
TigerResearch/tigerbot-7b-sft,-12.402672311773879,92.46961525759322,0.614144521271409,-0.32140996417199724,0.10330436506903373,0.33272604838505643,3.9e-4,7.068,-0.962536717,base_or_other,2B-20B,3
luffycodes/vicuna-class-shishya-all-hal-7b-ep3,9.642244674768396,105.85436834548149,0.7847109619441075,0.30373000243712567,0.09225191438045122,0.27541111668361107,2.8e-4,7,-0.449490285,base_or_other,2B-20B,5
luffycodes/nash-vicuna-13b-v1dot5-ep2-w-rag-w-simple,15.587225742721966,109.46391261164067,0.8229321629646184,0.4940232043830021,0.24405892646884153,0.24978927623299585,1.2e-4,13,0.221312735,base_or_other,2B-20B,7
luffycodes/vicuna-mmlu-val-only-correct-mcq-7b-ep2,10.343366339310725,106.28006014419395,0.7906863016912933,0.3355386601723297,0.11258619247023494,0.26441785194491246,2.4000000000001e-4,7,-0.525198834,base_or_other,2B-20B,5
luffycodes/vicuna-class-tutor-13b-ep3,16.624965874544877,110.09398508786373,0.8290308121698992,0.5178728140849135,0.2681922515682176,0.25006015288534156,9.9999999999989e-5,13,0.067399514,base_or_other,2B-20B,7
ToolBench/ToolLLaMA-7b-LoRA,13.398612651618178,108.13507813033021,0.8130693634111751,0.4617161653111265,0.21318181730960195,0.23438525496645382,1.3000000000001e-4,7,-0.393051161,base_or_other,2B-20B,6
TaylorAI/FLAN-Llama-7B-2_Llama2-7B-Flash_868_full_model,13.783189494416872,108.3685771309081,0.8143187026501635,0.46954496289132336,0.22047247217660282,0.23599163567498257,1.3000000000001e-4,7,-0.347987839,base_or_other,2B-20B,6
EleutherAI/gpt-neo-1.3B,-29.731912974310095,81.94802392612041,0.45444476060769584,-0.657210297266363,0.4319253748329488,0.31047706916280066,-1.3999999999997e-4,1.366,-1.024973182,base_or_other,<2B,2
EleutherAI/pythia-2.7b,-13.382260088039926,91.87485046345773,0.6062377798569389,-0.36462142169409034,0.13294878115820907,0.31118453381324046,3.1000000000003e-4,2.909,-1.374957279,base_or_other,2B-20B,3
EleutherAI/gpt-neo-2.7B,-19.649634395177195,88.06956248430055,0.5494169692964044,-0.49171278208529956,0.24178146006606005,0.3168462105299934,2.0000000000003e-4,2.718,-0.910031228,base_or_other,2B-20B,3
EleutherAI/pythia-6.7b,-7.305533724884023,95.56438497171447,0.6570067764191516,-0.21411703577696067,0.04584610500990893,0.3034717594123851,3.6999999999998e-4,6.651,-1.357950619,base_or_other,2B-20B,4
EleutherAI/pythia-1b-deduped,-28.390788287002408,82.76229883632502,0.46880892529638674,-0.6346578026817907,0.40279052650488645,0.3147817263083144,-7.9999999999969e-5,1.079,-1.33190883,base_or_other,<2B,2
EleutherAI/polyglot-ko-12.8b,-25.056543343218472,84.7867131416423,0.5010105958489133,-0.5745240530744746,0.33007788756112055,0.3250374784289086,7.00000000000145e-5,13.061,-0.880449601,base_or_other,2B-20B,3
EleutherAI/gpt-neo-125m,-48.302565279829544,70.67269928134444,0.2519356904212018,-0.8263294164701476,0.6828203045239005,0.2997629905736564,-0.00109999999999999,0.15,-0.622491307,base_or_other,<2B,1
Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf,20.61294099631262,112.51531706013144,0.8477246921485607,0.6035342312343039,0.3642535682715755,0.24796384360644871,0,30,0.499694382,instruction_or_chat,20B+,8
pythainlp/wangchanglm-7.5B-sft-en-sharded,-14.424648246830566,91.24195589934263,0.5993122042459835,-0.3796946156405542,0.14416800114642037,0.3200172540236139,3.1999999999998e-4,7.5,-0.857925916,base_or_other,2B-20B,3
senseable/moe-x33,-45.062317802177,72.64004225017975,0.32933902458937403,-0.681926547419106,0.46502381607494936,0.44010012688239264,-4.3999999999999e-4,58.942,-0.687915305,base_or_other,20B+,1
jb723/llama2-ko-7B-model,12.369690944950802,107.51035983363992,0.8028658653710234,0.39373099727334293,0.1550240982138571,0.2629600326787866,2.0999999999998e-4,6.666,-0.538409137,base_or_other,2B-20B,6
Aspik101/llama-30b-2048-instruct-PL-lora_unload,20.737625492775187,112.59102028006453,0.8504935863441694,0.6290574377554652,0.3957132599954616,0.23334505348782394,-2.99999999999745e-5,30,0.655360273,instruction_or_chat,20B+,8
