Model,Delta_g,Ability,Coherence_R2_1F,Coherence_Cosine_Raw,params_num,model_type
AtAndDev/Ogno-Monarch-Neurotic-9B-Passthrough,8.5000000000001e-4,91.67720347026656,0.06666880098287287,0.6206793168204986,8.987,merge_or_moe
ConvexAI/Pelican-9b-v0.1,8.4e-4,97.73907644492363,0.0059489491856620225,0.6909863574747681,9.859,base_or_other
kodonho/Solar-M-SakuraSolar-Mixed,7.0999999999998e-4,91.7791588970781,0.075519130023328,0.6113447033806263,8.987,merge_or_moe
cognitivecomputations/yayi2-30b-llama,7.0000000000003e-4,90.24989276614082,0.09908329816467654,0.5926292707881674,30.403,base_or_other
abhinand/telugu-llama-7b-instruct-v0.1,5.8999999999997e-4,98.3076504080382,0.004768391822601803,0.7006395941027196,7,instruction_or_chat
togethercomputer/RedPajama-INCITE-Chat-7B-v0.1,5.7000000000001e-4,99.69183234015888,1.6608365277881454e-4,0.7144963465018196,6.651,instruction_or_chat
OpenBuddy/openbuddy-deepseekcoder-33b-v16.1-32k,5.4999999999999e-4,95.08451257480657,0.039260718366605496,0.6401619687100801,33.402,instruction_or_chat
jlevin/guanaco-unchained-llama-2-7b,5.4999999999999e-4,101.63095006732998,0.004775015190133014,0.7381019941950295,7,instruction_or_chat
rombodawg/Everyone-Coder-33b-Base,5.4999999999999e-4,95.62208925804173,0.03187551605597416,0.6479299637531687,33.343,base_or_other
Sharathhebbar24/ssh_1.8B,5.3999999999998e-4,95.6060398665606,0.03225037138132569,0.6546857749649897,1.837,base_or_other
Vmware/open-llama-7b-v2-open-instruct,5.3000000000003e-4,100.51853492986896,5.053601369080507e-4,0.7226324298839713,6.607,instruction_or_chat
vibhorag101/llama-2-13b-chat-hf-phr_mental_therapy,5.3000000000003e-4,102.64896564303758,0.012775632846937834,0.7519507127987802,13,instruction_or_chat
psmathur/orca_mini_3b,5e-4,93.53652713384656,0.06803053577716389,0.6358546601300809,3.324,instruction_or_chat
vihangd/dopeyshearedplats-1.3b-v1,5e-4,94.9249846776843,0.04526859373422598,0.6519981224240262,1.3,base_or_other
google/gemma-7b-it,5e-4,103.14060550247238,0.018717858173776136,0.7462744934619532,8.538,instruction_or_chat
stabilityai/stablelm-2-zephyr-1_6b,4.8999999999999e-4,101.79817378566199,0.006406499125634513,0.7317288603611277,1.645,base_or_other
alnrg2arg/blockchainlabs_tinyllama_fusion_LHK_yunkong_v2,4.7999999999998e-4,93.80677521753182,0.0655241269304827,0.6380775390224,1.1,merge_or_moe
Undi95/Mixtral-8x7B-MoE-RP-Story,4.7000000000002e-4,100.5795119460418,7.111986371821644e-4,0.7204084759278044,46.703,merge_or_moe
teilomillet/MiniMerlin-3B,4.7000000000002e-4,98.5940309350777,0.004175384019569406,0.6947531781940417,3.02,base_or_other
M4-ai/NeuralReyna-Mini-1.8B-v0.2,4.6000000000001e-4,93.71930395845524,0.06893933908890748,0.6258204733508965,1.837,base_or_other
vicgalle/OpenHermes-Qwen1.5-1.8B,4.6000000000001e-4,93.11999601136321,0.07962093107366341,0.6200716454534283,1.836,base_or_other
KnutJaegersberg/Deita-1_8B,4.6000000000001e-4,93.22710791389959,0.07851823450011619,0.6237549842869057,8,base_or_other
Devio/test-22B,4.6000000000001e-4,94.71901971203737,0.051588584455568465,0.647220078520163,21.828,base_or_other
uukuguy/speechless-coding-7b-16k-tora,4.6000000000001e-4,96.39932071621061,0.026184370450155092,0.6647764683149848,7,base_or_other
ddyuudd/dolly-v2-3b,4.6000000000001e-4,95.50680776691087,0.038891445357930876,0.6591481079121492,2.775,base_or_other
indischepartij/MiniCPM-3B-Bacchus,4.5e-4,103.12776492680885,0.020357606930667904,0.7458246726978931,3.008,base_or_other
h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,4.5e-4,93.04171565761261,0.08225284957685075,0.6260535971516465,7,base_or_other
Syed-Hasan-8503/openhermes-gemma-2b-it,4.5e-4,94.15797376180058,0.06273661881750736,0.6385393788824334,2.506,instruction_or_chat
tyson0420/stack_codellama-7b-inst,4.3999999999999e-4,98.10797962360853,0.007854474392747002,0.6892274979151277,6.739,base_or_other
shibing624/chinese-alpaca-plus-7b-hf,4.3999999999999e-4,100.4204137415656,4.038541248385652e-4,0.7204551334828742,7,instruction_or_chat
